# 1.秒懂社媒营销•第一节

language=zh
language_probability=1.000
model=tiny

[00:00:00.340 - 00:00:04.500] 哈囉大家好 我是這邊是來自中國製造網的酒令老師
[00:00:04.500 - 00:00:09.500] 今天的話會跟大家介紹一下海外設美的一些平台特幸
[00:38:10.180 - 00:38:12.180] 如果說大家這個平台的話
[00:38:12.180 - 00:38:15.460] 自己在Instagram的平台上已經有一定的粉絲基礎
[00:38:15.460 - 00:38:19.140] 我非常建議大家去把SWARS平台也去開通
[00:38:19.140 - 00:38:21.780] 因為SWARS它現在在一個粉絲的增長
[00:38:21.780 - 00:38:25.540] 機制是可以把你的Instagram粉絲去進行流的
[00:38:25.540 - 00:38:28.580] 比如說文字信息為我們上網有20萬的粉絲
[00:38:28.580 - 00:38:31.380] 我現在去註冊一個SWARS的賬號
[00:38:31.380 - 00:38:34.420] 如果我的粉絲在SWARS上面有賬號
[00:38:34.420 - 00:38:38.420] 那麼這些粉絲會自動關注你自己原來的
[00:38:38.420 - 00:38:39.700] 就是會自動關注你
[00:38:39.700 - 00:38:42.020] 在SWARS我們新註冊的這個賬號
[00:38:42.020 - 00:38:45.300] 如果你的粉絲沒有去註冊SWARS這個平台
[00:38:45.300 - 00:38:47.060] 而你已經註冊了
[00:38:47.060 - 00:38:49.700] 當他們在註冊SWARS這個平台的時候
[00:38:49.700 - 00:38:52.100] 它也會自動會把你進行關注
[00:38:52.100 - 00:38:55.060] 如果說你的平台粉絲就說已經有一定的料了
[00:38:55.060 - 00:38:57.540] 那麼你就註冊一個SWARS的賬號
[00:38:57.540 - 00:39:00.900] 在那邊其實它會自動去增長一些粉絲的
[00:39:00.900 - 00:39:03.220] 最後的話就是一個
[00:39:03.220 - 00:39:05.700] 應該算是Rose的一個顏面
[00:39:05.700 - 00:39:07.060] 就是Rose的話
[00:39:07.060 - 00:39:09.060] 其實也是對標
[00:39:09.060 - 00:39:11.700] TickTouch的平台的一個功能
[00:39:11.700 - 00:39:14.980] 可以支持大家去上傳這種數本的視頻
[00:39:14.980 - 00:39:16.900] 然後它的一個功能的入口的話
[00:39:16.900 - 00:39:19.300] 就是在譬如說你就可以看到
[00:39:19.300 - 00:39:20.820] 第一個主義也掉了一個SWARS
[00:39:20.820 - 00:39:24.580] 第三個法體第四個就是Rose的一個功能的入口
[00:39:24.580 - 00:39:27.620] 第五個法體就是你自己的一個個人主義的入口
[00:39:27.620 - 00:39:29.620] 然後這邊的話它又上的一個相機
[00:39:29.620 - 00:39:32.820] 像機像機制的地方是可以去去發視頻內容的
[00:39:32.820 - 00:39:34.980] 你可以去直接上傳視頻
[00:39:34.980 - 00:39:37.220] 然後也可以在你的發鐵的時候
[00:39:37.220 - 00:39:40.020] 就點擊加號去現場拍一個新的視頻
[00:39:40.020 - 00:39:44.020] 這個都是可以去發Rose的一個入口
[00:39:44.020 - 00:39:46.020] 這個是我這邊節的一張圖
[00:39:46.020 - 00:39:50.900] 就是它會推薦給你現在的平台上最火的一些視頻是什麼樣子的
[00:39:50.900 - 00:39:52.420] 然後也可以看它的數據
[00:39:52.420 - 00:39:55.700] 460%的點單以及780%的評論
[00:39:55.700 - 00:39:57.460] 然後其實阿拉伯那個分享
[00:39:57.460 - 00:39:59.620] 這個是平台認為它最火的視頻並且
[00:39:59.620 - 00:40:01.380] 已經把這個視頻推送給我
[00:40:01.380 - 00:40:03.700] 如果說我們能夠在短視頻上面
[00:40:03.700 - 00:40:06.740] 已經有一些比較好的一些成功那樣的素材
[00:40:06.740 - 00:40:10.740] 那麼就是在發一些比較粗汁的比如說TikTok平台的時候
[00:40:10.740 - 00:40:13.460] 也可以在Rose的這個平台就先發布
[00:40:13.460 - 00:40:15.860] 並且你在發布的時候可以根據
[00:40:15.860 - 00:40:17.620] 比如說你之前視頻已經火了
[00:40:17.620 - 00:40:18.980] 那沒有你直接發就可以了
[00:40:18.980 - 00:40:21.140] 如果說你之前視頻不問不火
[00:40:21.140 - 00:40:23.780] 沒有什麼反向那你可以進行一定的優化
[00:40:23.780 - 00:40:26.820] 比如說在選這個視頻的原生的時候
[00:40:26.820 - 00:40:30.500] 因此外我們還是支持去更換你的視頻原生
[00:40:30.500 - 00:40:32.340] 可以去選擇不定這個平台上
[00:40:32.340 - 00:40:33.780] 現在火的一些音樂
[00:40:33.780 - 00:40:36.180] 因為這個音樂的話跟TikTok上面
[00:40:36.180 - 00:40:38.020] 是不一樣的它的那個曲風
[00:40:38.020 - 00:40:40.100] 它用過的一些次數啊
[00:40:40.100 - 00:40:41.140] 都不太一樣
[00:40:41.140 - 00:40:44.340] 就是跟視頻原來特性去進行一些更改
[00:40:44.340 - 00:40:48.340] 然後直接的話大概就是針對音色外們這個平台
[00:40:48.340 - 00:40:51.140] 有沒有有一些我挖的一些玩法了
[00:40:51.140 - 00:40:54.740] 然後今天直接克服那種大概就到這裡
[00:40:54.740 - 00:40:57.380] 如果大家有什麼不太明白的地方
[00:40:57.380 - 00:40:59.700] 或者說有什麼想要其他更想聊
[00:40:59.700 - 00:41:03.140] 這個東西也可以進行提出
[00:41:03.140 - 00:41:05.220] 這邊的話會在下載克的時候
[00:41:05.220 - 00:41:06.580] 去進行一個解答
[00:41:06.580 - 00:41:08.980] 或者說大家只要在說明上面去敲然後
[00:41:08.980 - 00:41:10.980] 我們會進入這些問題
[00:41:10.980 - 00:41:13.460] 也可以的話就是待會兒小助理會兒去
[00:41:13.460 - 00:41:16.020] 發音一個協威風的二人馬
[00:41:16.020 - 00:41:19.620] 大家有什麼問題的話也可以去加小助理的微信
[00:41:19.620 - 00:41:22.500] 然後把問題發到我們的協威風上面
[00:41:22.500 - 00:41:25.060] 我們會在下載克的時候或者是直接在協威風
[00:41:25.060 - 00:41:26.820] 進行解答
[00:41:26.820 - 00:41:29.380] 好的然後今天直接克就到這裡了
[00:41:29.380 - 00:41:30.420] 謝謝大家
