# 10.证书验真与品质关联

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.060] 位於中國之外往的會員,大家好
[00:27:04.010 - 00:27:05.010] 檢查好
[00:27:05.010 - 00:27:06.010] 師傅在念證範文內
[00:27:06.010 - 00:27:07.010] 師傅有效
[00:27:07.010 - 00:27:08.010] 師傅完整
[00:27:08.010 - 00:27:09.010] 這些信息
[00:27:09.010 - 00:27:10.010] 一定要檢查好
[00:27:10.010 - 00:27:11.010] 避免浪費
[00:27:11.010 - 00:27:14.090] 念證書
[00:27:14.090 - 00:27:15.090] 以上內容
[00:27:15.090 - 00:27:16.090] 就是本次
[00:27:16.090 - 00:27:17.090] 課程到全部內容
[00:27:17.090 - 00:27:18.090] 感謝您的觀看
